time_s,temperature_C,pwm,heat_cool
137.949,33.64,65,0
138.088,33.71,65,0
138.226,33.79,65,0
138.365,33.85,66,0
138.504,33.91,67,0
138.643,33.98,68,0
138.782,34.03,67,0
138.921,34.1,67,0
139.06,34.15,67,0
139.199,34.21,68,0
139.338,34.26,68,0
139.477,34.32,68,0
139.616,34.36,69,0
139.755,34.42,70,0
139.893,34.46,70,0
140.032,34.52,71,0
140.171,34.56,71,0
140.31,34.61,72,0
140.449,34.66,73,0
140.588,34.7,74,0
140.727,34.74,75,0
140.866,34.79,76,0
141.005,34.84,76,0
141.144,34.88,76,0
141.283,34.93,80,0
141.422,34.98,69,0
141.561,35.02,74,0
141.7,35.07,86,0
141.839,35.1,163,0
141.979,35.17,215,0
142.119,35.22,254,0
142.259,35.27,249,0
142.399,35.36,254,0
142.539,35.45,254,0
142.678,35.55,254,0
142.818,35.69,254,0
142.958,35.83,254,0
143.098,35.99,254,0
143.238,36.17,254,0
143.378,36.34,254,0
143.518,36.54,254,0
143.658,36.73,254,0
143.798,36.93,254,0
143.938,37.12,254,0
144.078,37.35,254,0
144.218,37.56,254,0
144.358,37.78,254,0
144.498,38.01,254,0
144.638,38.23,254,0
144.778,38.45,254,0
144.918,38.69,254,0
145.058,38.93,254,0
145.198,39.17,254,0
145.339,39.41,254,0
145.479,39.65,254,0
145.619,39.89,254,0
145.759,40.13,254,0
145.899,40.37,254,0
146.039,40.61,254,0
146.179,40.86,254,0
146.319,41.1,254,0
146.459,41.34,254,0
146.599,41.59,254,0
146.74,41.83,254,0
146.88,42.08,254,0
147.02,42.33,254,0
147.16,42.57,254,0
147.3,42.81,254,0
147.44,43.05,254,0
147.58,43.29,254,0
147.72,43.53,254,0
147.861,43.77,254,0
148.001,44.02,254,0
148.141,44.26,254,0
148.281,44.5,254,0
148.421,44.74,254,0
148.562,44.97,254,0
148.702,45.21,254,0
148.842,45.44,254,0
148.982,45.68,254,0
149.123,45.91,254,0
149.263,46.15,254,0
149.403,46.37,254,0
149.543,46.61,254,0
149.683,46.84,254,0
149.824,47.07,254,0
149.964,47.3,254,1
150.103,47.54,254,1
150.242,47.74,254,1
150.382,47.93,254,1
150.521,48.07,254,1
150.66,48.15,254,1
150.799,48.19,254,1
150.938,48.23,254,0
151.077,48.23,254,0
151.217,48.21,254,0
151.357,48.23,254,0
151.496,48.26,254,0
151.636,48.34,254,0
151.775,48.41,254,0
151.915,48.51,254,1
152.053,48.63,254,1
152.191,48.74,254,1
152.33,48.83,254,1
152.468,48.87,254,1
152.606,48.88,254,1
152.744,48.88,254,1
152.883,48.84,254,1
153.021,48.78,254,1
153.159,48.71,254,1
153.298,48.62,254,1
153.436,48.51,254,1
153.574,48.39,254,1
153.713,48.23,254,1
153.852,48.11,254,1
153.991,47.97,254,1
154.13,47.8,254,1
154.27,47.64,254,1
154.409,47.46,254,1
154.548,47.29,254,1
154.687,47.11,254,1
154.827,46.92,254,1
